"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Отправляем POST-запрос на создание заказа с валидными данными и указанием цвета, проверяем код и тело ответа","113","Test_Create_Order_With_Valid_Data_And_Color_Selection_001","tests","Fri Sep 19 19:11:18 MSK 2025","passed","Fri Sep 19 19:11:18 MSK 2025","TestOrderCreationV1","test_order2","",""
"Отправляем POST-запрос на создание заказа с валидными данными и указанием цвета, проверяем код и тело ответа","209","Test_Create_Order_With_Valid_Data_And_Color_Selection_001","tests","Fri Sep 19 19:11:18 MSK 2025","passed","Fri Sep 19 19:11:18 MSK 2025","TestOrderCreationV1","test_order2","",""
"Отправляем запрос POST на ручку /api/v1/courier/login на авторизацию курьера с указанием валидных значений и проверяем код и тело ответа","262","Проверка авторизации существующего курьера с валидными данными","tests","Fri Sep 19 19:11:16 MSK 2025","passed","Fri Sep 19 19:11:17 MSK 2025","TestLoginCourier","test_courier","",""
"Отправляем запрос POST на ручку /api/v1/courier/login на авторизацию курьера без указания обязательного поля и проверяем код и тело ответа","270","Проверка авторизации существующего курьера - json не содержит обязательного поля- ""login"", ""password""","tests","Fri Sep 19 19:11:17 MSK 2025","passed","Fri Sep 19 19:11:17 MSK 2025","TestLoginCourier","test_courier","",""
"Проверка получения списка заказов: код ответа 200 и наличие ключа «orders» в ответе","7021","Test_Get_Orders_List_Successfully_002","tests","Fri Sep 19 19:11:19 MSK 2025","passed","Fri Sep 19 19:11:26 MSK 2025","TestOrdersListV1","test_order2","",""
"Отправляем запрос POST на ручку /api/v1/courier/login на авторизацию курьера с указанием неверного обязательного поля и проверяем код и тело ответа","157","Проверка невозможности авторизации существующего курьера с указанием неверного обязательного поля","tests","Fri Sep 19 19:11:18 MSK 2025","passed","Fri Sep 19 19:11:18 MSK 2025","TestLoginCourier","test_courier","",""
"Отправляем запрос POST на ручку /api/v1/courier на создание курьера и проверяем код и тело ответа","75","Проверка регистрации курьера - json не содержит необязательного поля - ""firstName""","tests","Fri Sep 19 19:11:16 MSK 2025","passed","Fri Sep 19 19:11:16 MSK 2025","TestCreateCourier","test_courier","",""
"Отправляем POST-запрос на создание заказа с валидными данными и указанием цвета, проверяем код и тело ответа","68","Test_Create_Order_With_Valid_Data_And_Color_Selection_001","tests","Fri Sep 19 19:11:19 MSK 2025","passed","Fri Sep 19 19:11:19 MSK 2025","TestOrderCreationV1","test_order2","",""
"Отправляем запрос POST на ручку /api/v1/courier на создание курьера и проверяем код и тело ответа","63","Проверка регистрации курьера - json не содержит обязательного поля","tests","Fri Sep 19 19:11:16 MSK 2025","passed","Fri Sep 19 19:11:16 MSK 2025","TestCreateCourier","test_courier","",""
"Отправляем запрос POST на ручку /api/v1/courier на невозможность создания курьера дважды и и проверяем код и тело ответа","361","Проверка, что нельзя создать двух одинаковых курьеров","tests","Fri Sep 19 19:11:15 MSK 2025","passed","Fri Sep 19 19:11:16 MSK 2025","TestCreateCourier","test_courier","",""
"Отправляем запрос POST на ручку /api/v1/courier на создание курьера и проверяем код и тело ответа","433","Проверка успешного создания курьера с валидными данными","tests","Fri Sep 19 19:11:15 MSK 2025","passed","Fri Sep 19 19:11:15 MSK 2025","TestCreateCourier","test_courier","",""
"Отправляем запрос POST на ручку /api/v1/courier/login на авторизацию курьера без указания обязательного поля и проверяем код и тело ответа","183","Проверка авторизации существующего курьера - json не содержит обязательного поля- ""login"", ""password""","tests","Fri Sep 19 19:11:17 MSK 2025","passed","Fri Sep 19 19:11:17 MSK 2025","TestLoginCourier","test_courier","",""
"Отправляем запрос POST на ручку /api/v1/courier/login на авторизацию курьера с указанием неверного обязательного поля и проверяем код и тело ответа","202","Проверка невозможности авторизации существующего курьера с указанием неверного обязательного поля","tests","Fri Sep 19 19:11:17 MSK 2025","passed","Fri Sep 19 19:11:18 MSK 2025","TestLoginCourier","test_courier","",""
"Отправляем POST-запрос на создание заказа с валидными данными и указанием цвета, проверяем код и тело ответа","88","Test_Create_Order_With_Valid_Data_And_Color_Selection_001","tests","Fri Sep 19 19:11:18 MSK 2025","passed","Fri Sep 19 19:11:18 MSK 2025","TestOrderCreationV1","test_order2","",""
"Отправляем запрос POST на ручку /api/v1/courier на создание курьера и проверяем код и тело ответа","111","Проверка регистрации курьера - json не содержит обязательного поля","tests","Fri Sep 19 19:11:16 MSK 2025","passed","Fri Sep 19 19:11:16 MSK 2025","TestCreateCourier","test_courier","",""
